Action,Number of tickets,NOTES,Is_active
Attend Sunday League,1,,TRUE
Create and donate a 30-card deck for learn to play,4,We are not currently accepting L2P decks,FALSE
Bring a friend to league,5,20 points for the whole month of October,TRUE
Run a learn to play session (masters only) ,10,,TRUE
Create and donate a rental library GLC format competitive deck,10,Proxy free rental GLC decks earn an extra 20 points,TRUE
Create and donate a rental library Standard format competitive deck,10,Proxy free rental decks earn an extra 10 points,TRUE
Update a competitive rental deck for a new meta,3,,TRUE
Play in casual league tournament ,1,,TRUE
Play in a league Championship Event,2,,TRUE
Be a buddy for a new league attendee (juniors/seniors only) ,5,,TRUE
Bring a snack or treat to share with the league,2,,TRUE
Participate in a league special event or contest,1,,TRUE
"Material Donations (Sleeves, Deck Boxes, Playable cards, etc.)",Professor Discretion,,TRUE
Be a founding member of the league,15,,FALSE
