Item,Prize ticket value,Ticket values are roughly 4 points per $1,NOTES
Arceus figurine,10,,
Bearbrick Pikachu worlds promo,25,,This was a promo item from the 2024 Worlds Champtionship in HI
Booster pack,24,,
"Card binder - 160, small",40,,
Cardguard folio,80,,
Charizard playmat,40,,
Charizard statue,200,,
Cookbook,80,,
Deck boxes,30,,
Deck Boxes (premium),60,,
Deck boxes (small),30,,
Delibird league card,16,,
EUIC pen,25,,EUIC 2025
Glaceon + Pikachu keychain,10,,
Metal damage markers,8,,
Painted binder - 3-ring,100,,
Pikachu dice bag,8,,
Pikachu eraser,10,,
Pikachu promo,8,,
Pikachu promo dice / damage markers,8,,
Plush - large,130,,
Plush - medium,70,,
Plush - small,25,,
Pokemon Center pins,30,,
Posters (print),120,,
Professor's Research - Juniper slab,70,,
Promo Card - stamped,35,,
Puzzle - 151,10,,
Shinx figure ,20,,
Single magnetic slab - pokeball,25,,
Slab binder,100,,
Sleeves (premium),35,,
Stickers - Pokemon center EUIC,30,,EUIC 2025
Sweatshirt - Worlds sweatshirt youth L,300,,
Tin - 2-packs,70,,
Triple card set in slab,100,,
Various pins,10,,
Window cling,20,,
